,Oxygen_Consumption_Studies
183,https://www.fishbase.de/physiology/OxygenDataList.php?ID=290&GenusName=Ictalurus&SpeciesName=punctatus&fc=129&stockcode=304
184,https://www.fishbase.de/physiology/OxygenDataList.php?ID=8608&GenusName=Julidochromis&SpeciesName=marlieri&fc=349&stockcode=8923
185,https://www.fishbase.de/physiology/OxygenDataList.php?ID=107&GenusName=Katsuwonus&SpeciesName=pelamis&fc=416&stockcode=121
186,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5157&GenusName=Kuhlia&SpeciesName=sandvicensis&fc=301&stockcode=5396
187,https://www.fishbase.de/physiology/OxygenDataList.php?ID=60748&GenusName=Kuhlia&SpeciesName=xenura&fc=301&stockcode=50518
188,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5151&GenusName=Labeo&SpeciesName=calbasu&fc=122&stockcode=5390
189,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5129&GenusName=Labeo&SpeciesName=capensis&fc=122&stockcode=5365
190,https://www.fishbase.de/physiology/OxygenDataList.php?ID=82&GenusName=Labeo&SpeciesName=rohita&fc=122&stockcode=97
191,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4818&GenusName=Labeobarbus&SpeciesName=aeneus&fc=122&stockcode=5047
192,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5459&GenusName=Labroides&SpeciesName=dimidiatus&fc=362&stockcode=5729
193,https://www.fishbase.de/physiology/OxygenDataList.php?ID=572&GenusName=Labrus&SpeciesName=bergylta&fc=362&stockcode=588
194,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3576&GenusName=Lagodon&SpeciesName=rhomboides&fc=330&stockcode=3772
195,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4480&GenusName=Lampetra&SpeciesName=fluviatilis&fc=1&stockcode=4678
196,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4481&GenusName=Lampetra&SpeciesName=planeri&fc=1&stockcode=4679
197,https://www.fishbase.de/physiology/OxygenDataList.php?ID=346&GenusName=Lates&SpeciesName=calcarifer&fc=631&stockcode=360
198,https://www.fishbase.de/physiology/OxygenDataList.php?ID=429&GenusName=Leiostomus&SpeciesName=xanthurus&fc=331&stockcode=443
199,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5336&GenusName=Lepidocephalichthys&SpeciesName=guntea&fc=127&stockcode=5575
