name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Ambloplites constellatus,,,,,,,
Ambloplites rupestris,,,,,,,['Amia calva']
Amblyceps accari,,,,,,,
Amblyceps mangois,,,,,,,
Amblychaeturichthys hexanema,24.05,,7.0,,,2.37,"['Cynoglossus semilaevis', 'Paralichthys olivaceus', 'Lophius litulon', 'Saurida elongata', 'Platycephalus indicus']"
Amblycirrhitus bimacula,47.0,4.8,,,,7.9,
Amblycirrhitus earnshawi,,,,,,,
Amblycirrhitus oxyrhynchos,,,,,,,
Amblycirrhitus pinos,,,,,,,
Amblyeleotris arcupinna,,,,,,,
Amblyeleotris aurora,,,,,,,
Amblyeleotris biguttata,,,,,,,
Amblyeleotris bleekeri,,,,,,,
Amblyeleotris callopareia,,,,,,,
Amblyeleotris diagonalis,,,,,,,
Amblyeleotris downingi,,,,,,,
Amblyeleotris fasciata,,,,,,,
Amblyeleotris fontanesii,,,,,,,
Amblyeleotris guttata,32.9,,8.6,,,8.85,
Amblyeleotris gymnocephala,,,,,,,
Amblyeleotris latifasciata,,,,,,,
Amblyeleotris macronema,,,,,,,
Amblyeleotris masuii,,,,,,,
Amblyeleotris melanocephala,,,,,,,
Amblyeleotris ogasawarensis,,,,,,,
Amblyeleotris periophthalma,,,,,,,
Amblyeleotris randalli,,,,,,,
Amblyeleotris rhyax,,,,,,,
Amblyeleotris rubrimarginata,,,,,,,
Amblyeleotris steinitzi,10.6,,7.5,,,2.925,
Amblyeleotris sungami,23.8,,7.566666666666666,,,4.84,
Amblyeleotris triguttata,,,,,,,
Amblyeleotris wheeleri,,,,,,,
Amblyeleotris yanoi,,,,,,,
Amblygaster clupeoides,,,,,,,
Amblygaster leiogaster,,,,,,,
Amblygaster sirm,115.0,11.0,12.7,,,25.0,
Amblyglyphidodon aureus,,,,,,,
Amblyglyphidodon batunai,,,,,,,
Amblyglyphidodon curacao,153.66666666666666,,,,,38.63333333333333,
Amblyglyphidodon flavilatus,,,,,,,
Amblyglyphidodon flavopurpureus,,,,,,,
Amblyglyphidodon indicus,,,,,,,
Amblyglyphidodon leucogaster,130.0,9.95,12.9,,,42.66666666666666,
Amblyglyphidodon silolona,,,,,,,
Amblyglyphidodon ternatensis,,,,,,,
Amblygobius albimaculatus,32.38,,18.0,,,18.84,
Amblygobius buanensis,,,,,,,
Amblygobius bynoensis,,,,,,,
Amblygobius calvatus,,,,,,,
Amblygobius cheraphilus,,,,,,,
Amblygobius decussatus,,,,,,,['Synodus englemani']
Amblygobius esakiae,,,,,,,
Amblygobius linki,,,,,,,
Amblygobius nocturnus,,,,,,,
Amblygobius phalaena,37.8875,,9.3,,147.6,7.7125,['Synodus englemani']
Amblygobius semicinctus,43.66666666666666,,12.6,,,17.066666666666666,
Amblygobius sphynx,,,,,,,
Amblygobius stethophthalmus,,,,,,,
Amblyopsis hoosieri,,,,,,,
