Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
155.46666666666667,363.3333333333333,2.903333333333333,,17.0,,58320.5,Chaetodon ornatissimus
41.666666666666664,191.0,5.069999999999999,,11.0,,11740.0,Chaetodon paucifasciatus
33.5,175.0,5.905,,11.0,,11740.0,Chaetodon plebeius
54.1,260.0,4.824999999999999,,11.0,,11740.0,Chaetodon quadrimaculatus
114.425,359.75,3.325,,15.0,,58320.5,Chaetodon reticulatus
45.85,202.0,5.535,,12.0,,11740.0,Chaetodon speculum
98.0,347.0,3.54,,,,104901.0,Chaetodon striatus
81.8,342.5,4.195,,12.8,14.7,11740.0,Chaetodon trifascialis
46.5,220.0,4.835,,12.0,,11740.0,Chaetodon trifasciatus
59.9,276.3333333333333,5.033333333333333,,14.0,,58320.5,Chaetodon ulietensis
47.366666666666674,199.0,5.396666666666667,,13.0,,11740.0,Chaetodon unimaculatus
10.799999999999999,51.583333333333336,5.219999999999999,,,,117407.0,Chalinochromis brichardi
85.0,190.0,3.4375,,19.6,,,Champsocephalus gunnari
210.0,285.0,1.36,,,,,Channa orientalis
375.0,389.5,1.21375,,,,,Channichthys rhinoceratus
41.333333333333336,31.46666666666667,0.8506666666666667,,22.2,25.0,,Chauliodus sloani
127.15,251.5,5.7250000000000005,,,,,Cheilinus chlorourus
357.6666666666667,502.0,1.4266666666666665,,21.5,27.7,104901.0,Cheilinus fasciatus
270.0,415.5,1.725,,19.5,23.35,,Cheilinus trilobatus
127.0,372.0,2.94,,26.0,29.2,,Cheilio inermis
37.15,125.0,6.375,,14.0,16.8,,Cheilodipterus arabicus
14.3,83.0,8.41,,8.3,10.2,,Cheilodipterus lachneri
17.549999999999997,100.5,5.99,,8.0,10.2,104901.0,Cheilodipterus macrodon
3.9,41.0,10.5,,,,,Cheilodipterus novemstriatus
72.0,151.0,9.290000000000001,,6.35,7.65,,Cheilodipterus quinquelineatus
627.5,749.25,1.2375,,35.666666666666664,42.666666666666664,,Chelidonichthys cuculus
14.2,72.0,5.07,,7.8,9.6,,Chelidonichthys kumu
257.3333333333333,378.0,1.4733333333333334,,,,,Chelidonichthys lastoviza
528.8,447.4,1.2066,,33.175,35.55,,Chelidonichthys lucerna
156.53333333333333,209.66666666666666,2.2603333333333335,,19.400000000000002,22.766666666666666,,Chelon auratus
138.02727272727273,284.0,3.7818181818181817,,17.87,21.1,,Chelon labrosus
700.0,2100.0,3.0,,,,117392.0,Chiloscyllium punctatum
14400.0,7240.0,0.503,,,,118717.0,Chimaera lignaria
1176.0,3274.0,2.78,,,,118717.0,Chimaera monstrosa
400.0,664.0,1.66,,45.0,52.0,,Chirocentrus dorab
11.1,190.0,17.1,,13.92,,101288.0,Chitala chitala
4.461666666666667,107.22500000000001,27.3,,,,117394.0,Chitala ornata
3550.0,3390.0,0.955,,,,27579.0,Chlamydoselachus anguineus
284.0,421.0,1.48,,,,,Chlorurus frontalis
1479.5,778.0,0.7615,,36.25,43.8,,Chlorurus gibbus
700.0,560.0,0.8,,29.0,32.5,,Chlorurus perspicillatus
332.8333333333333,444.6666666666667,3.1733333333333333,,19.366666666666667,22.3,,Chlorurus sordidus
144.0,402.5,3.8899999999999997,,14.0,16.6,,Choerodon graphicus
9.7,79.35,8.215,,6.7,,,Chromis agilis
13.2,79.0,5.99,,6.2,8.0,,Chromis amboinensis
21.1,113.0,8.07,,7.199999999999999,9.55,,Chromis atripectoralis
6.8,47.0,6.91,,5.2,6.6,,Chromis atripes
15.0,104.0,6.93,,7.1,9.2,,Chromis axillaris
20.0,135.0,6.79,,7.8,10.2,,Chromis chromis
20.3,109.5,10.719999999999999,,6.35,8.8,,Chromis chrysura
6.64,88.0,13.3,,,,104901.0,Chromis cyanea
3.1999999999999997,34.25,14.950000000000001,,,,,Chromis dimidiata
35.0,215.0,6.14,,,,,Chromis flavomaculata
7.4,82.0,11.1,,5.4,7.6,,Chromis hanui
6.0,52.0,8.67,,5.0,6.5,,Chromis iomelas
11.8,102.0,8.64,,,,,Chromis lepidolepis
5.95,68.0,11.2,,4.6,6.5,,Chromis leucura
25.0,180.0,7.2,,,,104901.0,Chromis multilineata
2.2,32.5,15.85,,3.5999999999999996,,,Chromis nigrura
2.6,33.0,12.7,,,,,Chromis retrofasciata
13.85,113.0,8.17,,6.75,8.85,,Chromis ternatensis
104.0,315.5,3.035,,14.0,18.0,,Chromis verater
4.7,53.0,11.3,,5.0,6.3,,Chromis viridis
20.0,163.0,8.15,,8.0,,,Chromis weberi
9.85,64.0,6.915000000000001,,6.2,7.35,,Chrysiptera biocellata
5.2,51.0,9.8,,,,104901.0,Chrysiptera brownriggii
7.9,61.0,8.285,,5.85,7.05,,Chrysiptera glauca
2.1,28.15,13.649999999999999,,,,,Chrysiptera rollandi
2.4,28.0,11.7,,,,,Chrysiptera starcki
9.835999999999999,55.074000000000005,6.6936,,,,,Ciliata mustela
10.0,46.9,4.69,,,,,Ciliata septentrionalis
23.0,95.0,4.13,,,,,Cirrhilabrus temminckii
6.0,52.0,8.67,,6.0,7.3,,Cirrhitichthys falco
2.5,31.0,15.45,,4.9,,,Cirrhitichthys oxycephalus
17.049999999999997,92.0,5.425000000000001,,8.35,10.0,,Cirrhitops fasciatus
161.0,237.0,1.47,,16.5,19.6,,Cirrhitus pinnulatus
14.5,66.8,4.61,,7.0,9.0,,Cirripectes fuscoguttatus
7.0,51.5,7.36,,6.0,6.9,,Cirripectes polyzona
8.5,56.0,6.59,,,,,Cirripectes stigmaticus
154.83333333333334,319.0,2.235,,24.833333333333332,29.166666666666668,,Clupea harengus
41.0,85.0,2.07,,10.7,13.1,,Cocotropus monacanthus
120.64999999999999,359.00666666666666,4.171666666666668,,,,,Coelorinchus caelorhincus
14.2,127.0,8.98,,,,36657.0,Compsaraia compsus
